2016-07-05 16:17:54,634 - 25832
2016-07-05 16:18:12,270 - 17636
2016-07-05 16:18:27,341 - 15070
2016-07-05 16:18:55,896 - 28554
2016-07-05 16:19:24,842 - 28946
2016-07-08 13:20:40,507 - 24112
2016-07-08 13:20:54,168 - 13660
2016-07-08 13:21:07,680 - 13512
2016-07-08 13:21:29,258 - 21578
2016-07-08 13:21:52,814 - 23555
2016-07-08 14:54:11,212 - 22073
2016-07-08 14:54:25,240 - 14027
2016-07-08 14:54:52,344 - 27104
